Month,Year,Average percentage of yearly visitors
Oct,2013,0.08373729114275576
Nov,2013,0.08919419288149714
Dec,2013,0.12184457781137664
Jan,2014,0.08125997674200236
Feb,2014,0.09211178284831019
Mar,2014,0.0867942245046841
Apr,2014,0.07635557289070909
May,2014,0.0683120616553627
Jun,2014,0.0661480566570601
Jul,2014,0.0851806106307829
Aug,2014,0.07813964910760074
Sep,2014,0.07537180292819635
Oct,2014,0.08475156558105268
Nov,2014,0.08829804907293043
Dec,2014,0.11727664738130837
Jan,2015,0.07348270687188078
Feb,2015,0.09746059615183267
Mar,2015,0.09117987376808442
Apr,2015,0.07384781832483645
May,2015,0.06519118685383998
Jun,2015,0.06552542491187659
Jul,2015,0.08433403402516584
Aug,2015,0.07706804764704461
Sep,2015,0.07677944852062746
Oct,2015,0.08400248061016567
Nov,2015,0.09014225923450088
Dec,2015,0.12098612308014464
Jan,2016,0.07469399008868906
Feb,2016,0.09657481733729657
Mar,2016,0.09158530184996626
Apr,2016,0.0738269317744826
May,2016,0.06545625164765266
Jun,2016,0.06712385752671918
Jul,2016,0.08655829848573163
Aug,2016,0.07644382743967475
Sep,2016,0.07824566410378579
Oct,2016,0.0841566557911514
Nov,2016,0.08728991672854182
Dec,2016,0.11804448722630827
Jan,2017,0.0821287987930076
Feb,2017,0.08934239333885403
Mar,2017,0.08760110262838473
Apr,2017,0.07940852835411161
May,2017,0.06569146824271437
Jun,2017,0.06874524973625401
Jul,2017,0.08467210418250087
Aug,2017,0.0797363674520436
Sep,2017,0.07527707508536295
Oct,2017,0.08409923655462662
Nov,2017,0.08815241682075482
Dec,2017,0.11514525881138475
Jan,2018,0.07599057715977944
Feb,2018,0.09891494567157205
Mar,2018,0.09435278542704545
Apr,2018,0.07352454459517047
May,2018,0.06591769940793586
Jun,2018,0.06994122622387682
Jul,2018,0.08375425336537734
Aug,2018,0.08022285146912808
Sep,2018,0.07465048314769589
Oct,2018,0.08154780317599036
Nov,2018,0.08676108254503213
Dec,2018,0.1144217478113961
Jan,2019,0.07723829746775267
Feb,2019,0.09795582036573384
Mar,2019,0.08835398641439271
Apr,2019,0.07398873852459882
May,2019,0.07059867524482616
Jun,2019,0.0697598749194477
Jul,2019,0.08349760720058315
Aug,2019,0.08337294921771833
Sep,2019,0.07341721336587118
Oct,2019,0.08176929821781341
Nov,2019,0.08619465660951416
Dec,2019,0.11385288245174785
