year,name,count
1997,Canada,64770
1997,United States of America,329580
1997,Argentina,5610
1997,Brazil,8320
1997,Chile,2490
1997,Colombia,1700
1997,Mexico,2570
1997,South Africa,45190
1998,New Zealand,709410
1998,New Caledonia,23670
1998,Papua New Guinea,44910
1998,Vanuatu,4230
1998,Fiji,22670
1998,United Kingdom,467550
1998,Ireland,31020
1998,Austria,16920
1998,Belgium,9430
1998,France,42970
1998,Germany,127380
1998,Netherlands,46980
1998,Switzerland,40330
1998,Denmark,18200
1998,Finland,6250
1998,Norway,10560
1998,Sweden,26830
1998,Italy,47840
1998,Spain,10590
1998,Poland,4530
1998,Russia,2990
1998,Iran,1170
1998,Israel,10960
1998,Saudi Arabia,3530
1998,United Arab Emirates,10160
1998,Cambodia,1440
1998,Thailand,49120
1998,Vietnam,8630
1998,Indonesia,93040
1998,Malaysia,112090
1998,Philippines,35380
1998,Singapore,247080
1998,China,76560
1998,Hong Kong,143420
1998,Taiwan,149940
1998,Japan,751130
1998,South Korea,66640
1998,Bangladesh,2020
1998,India,29390
1998,Nepal,960
1998,Pakistan,2970
1998,Sri Lanka,6820
1998,Canada,71700
1998,United States of America,373910
1998,Argentina,6570
1998,Brazil,8640
1998,Chile,2920
1998,Colombia,1650
1998,Mexico,2850
1998,South Africa,56910
1999,New Zealand,728790
1999,New Caledonia,25010
1999,Papua New Guinea,50430
1999,Vanuatu,5490
1999,Fiji,25910
1999,United Kingdom,528440
1999,Ireland,40450
1999,Austria,17350
1999,Belgium,10380
1999,France,49140
1999,Germany,144500
1999,Netherlands,52280
1999,Switzerland,45090
1999,Denmark,18480
1999,Finland,7750
1999,Norway,11910
1999,Sweden,29450
1999,Italy,51430
1999,Spain,12790
1999,Poland,5120
1999,Russia,3270
1999,Iran,1240
1999,Israel,12470
1999,Saudi Arabia,4260
1999,United Arab Emirates,14250
1999,Cambodia,1180
1999,Thailand,61850
1999,Vietnam,8920
1999,Indonesia,90990
1999,Malaysia,139780
1999,Philippines,40270
1999,Singapore,266960
1999,China,92590
1999,Hong Kong,139560
1999,Taiwan,147510
1999,Japan,707480
1999,South Korea,108630
1999,Bangladesh,2630
1999,India,33640
1999,Nepal,830
1999,Pakistan,3050
1999,Sri Lanka,8130
1999,Canada,78380
1999,United States of America,417040
1999,Argentina,8780
1999,Brazil,8530
1999,Chile,2830
1999,Colombia,1740
1999,Mexico,3750
1999,South Africa,57950
2000,New Zealand,817030
2000,New Caledonia,25270
2000,Papua New Guinea,44470
2000,Vanuatu,6460
2000,Fiji,23160
2000,United Kingdom,580440
2000,Ireland,46440
2000,Austria,18570
2000,Belgium,11800
2000,France,57330
2000,Germany,143260
2000,Netherlands,61250
2000,Switzerland,47850
2000,Denmark,20680
2000,Finland,9450
2000,Norway,16580
2000,Sweden,36780
2000,Italy,57930
2000,Spain,16350
2000,Poland,6780
2000,Russia,6180
2000,Iran,1610
2000,Israel,13120
2000,Saudi Arabia,4370
2000,United Arab Emirates,13450
2000,Cambodia,1340
2000,Thailand,72750
2000,Vietnam,8820
2000,Indonesia,98110
2000,Malaysia,152080
2000,Philippines,39180
2000,Singapore,285730
2000,China,120260
2000,Hong Kong,154100
2000,Taiwan,134350
2000,Japan,720980
2000,South Korea,157390
2000,Bangladesh,3310
2000,India,41450
2000,Nepal,1060
2000,Pakistan,2510
2000,Sri Lanka,9460
2000,Canada,88290
2000,United States of America,488120
2000,Argentina,9580
2000,Brazil,13390
2000,Chile,3240
2000,Colombia,2490
2000,Mexico,6230
2000,South Africa,59510
2001,New Zealand,814880
2001,New Caledonia,28710
2001,Papua New Guinea,38950
2001,Vanuatu,4870
2001,Fiji,24520
2001,United Kingdom,617200
2001,Ireland,51570
2001,Austria,17940
2001,Belgium,10460
2001,France,50030
2001,Germany,147610
2001,Netherlands,56510
2001,Switzerland,46220
2001,Denmark,18340
2001,Finland,7250
2001,Norway,16570
2001,Sweden,31650
